,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2223,Arsenal,Ben White,ENG,DF,24,1997,38,36,3055,33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124,0.06,0.15,0.21,0.06,0.21,0.04,0.09,0.13,0.04,0.13
ENG-Premier League,2223,Arsenal,Bukayo Saka,ENG,FW,20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520,0.4,0.31,0.71,0.34,0.65,0.32,0.24,0.56,0.26,0.5
ENG-Premier League,2223,Arsenal,Cédric Soares,POR,DF,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Arsenal,Eddie Nketiah,ENG,FW,23,1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.1,9.3,32,15,82,0.33,0.08,0.41,0.33,0.41,0.68,0.09,0.76,0.68,0.76
ENG-Premier League,2223,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,0.3,0.7,1.0,2,7,11,0.0,1.05,1.05,0.0,1.05,0.14,0.36,0.5,0.14,0.5
ENG-Premier League,2223,Arsenal,Ethan Nwaneri,ENG,FW,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Arsenal,Fabio Vieira,POR,"MF,FW",22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,8,35,40,0.18,0.35,0.53,0.18,0.53,0.15,0.44,0.58,0.15,0.58
ENG-Premier League,2223,Arsenal,Gabriel Jesus,BRA,FW,25,1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,13.9,13.1,3.9,17.0,44,64,194,0.48,0.26,0.74,0.44,0.7,0.61,0.17,0.78,0.57,0.74
ENG-Premier League,2223,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,38,38,3409,37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,153,16,0.08,0.0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14
ENG-Premier League,2223,Arsenal,Gabriel Martinelli,BRA,FW,21,2001,36,34,2789,31.0,15,5,20,15,0,0,3,0,9.1,9.1,9.1,18.2,124,94,350,0.48,0.16,0.65,0.48,0.65,0.29,0.29,0.59,0.29,0.59
ENG-Premier League,2223,Arsenal,Granit Xhaka,SUI,MF,29,1992,37,36,2993,33.3,7,7,14,7,0,0,4,0,4.7,4.7,5.2,9.9,42,196,175,0.21,0.21,0.42,0.21,0.42,0.14,0.16,0.3,0.14,0.3
ENG-Premier League,2223,Arsenal,Jakub Kiwior,POL,DF,22,2000,7,5,427,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,6,6,0.21,0.0,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2223,Arsenal,Jorginho,ITA,MF,30,1991,14,9,855,9.5,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,15,99,8,0.0,0.11,0.11,0.0,0.11,0.02,0.02,0.04,0.02,0.04
ENG-Premier League,2223,Arsenal,Kieran Tierney,SCO,DF,25,1997,27,6,795,8.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,25,36,31,0.0,0.11,0.11,0.0,0.11,0.04,0.04,0.08,0.04,0.08
ENG-Premier League,2223,Arsenal,Leandro Trossard,BEL,FW,27,1994,20,10,931,10.3,1,10,11,1,0,0,0,0,1.8,1.8,4.7,6.6,36,57,102,0.1,0.97,1.06,0.1,1.06,0.18,0.46,0.63,0.18,0.63
ENG-Premier League,2223,Arsenal,Marquinhos,BRA,MF,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Arsenal,Martin Ødegaard,NOR,MF,23,1998,37,37,3127,34.7,15,7,22,15,0,0,4,0,9.9,9.9,8.1,18.0,83,266,193,0.43,0.2,0.63,0.43,0.63,0.29,0.23,0.52,0.29,0.52
ENG-Premier League,2223,Arsenal,Mohamed Elneny,EGY,MF,30,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Arsenal,Oleksandr Zinchenko,UKR,DF,25,1996,27,26,2118,23.5,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,67,227,68,0.04,0.08,0.13,0.04,0.13,0.06,0.06,0.12,0.06,0.12
ENG-Premier League,2223,Arsenal,Reiss Nelson,ENG,FW,22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,1.1,1.4,2.4,19,6,34,1.27,0.85,2.12,1.27,2.12,0.46,0.58,1.04,0.46,1.04
